 Core Systems Glossary,,,,
,,,,
, Mycelial Core,,,
" What it is: The unique ""DNA"" of each fungus that unlocks its true potential. It serves as the primary long-term progression system for Super Rare (SR) and Ultra Rare (UR) units.",,,,
" Gameplay Mechanic: A 10-level upgrade path. Each level provides a flat stat boost, while major milestones (Level 4, 7, and 10) significantly enhance or fundamentally change how the fungus’s abilities work.",,,,
" Final Evolution: At Level 10, the Core grants a ""Final Evolution"" passive, which is often a game-changing effect (e.g., turning a counter-attack into a Silence or making buffs uncleansable).",,,,
, ,,,
,Neutrality Tax,,,
 What it is: A balance mechanic applied specifically to the Kitchen Biome.,,,,
" Gameplay Mechanic: Because Kitchen Fungi have no elemental weaknesses (Neutral), they are given a slightly lower Base Stat Total (BST) than specialized biome fungi. This ensures they are used for their reliable utility rather than outclassing elemental specialists through raw power.",,,,
,,,,
, Signature Skill,,,
" What it is: The  ""Special"" of a fungus. Unlike Basic Attacks, these have a Cooldown (CD).",,,,
" Gameplay Mechanic: These skills define the unit's role (Tank, DPS, Support, etc.). They range from massive AoE explosions to complex turn-meter manipulation and team-wide heals.",,,,
,,,,
,Ultimate,,,
What it is: The strongest ability that a Funguy can perform that takes a cummulative 100 energy to perform with no cooldown (CD).,,,,
, Action Economy / Turn Meter,,,
 What it is: The system that determines the order of combat based on the SPD (Speed) stat.,,,,
" Gameplay Mechanic: Units with higher Speed move more often. Tacticians (like Shiitake Sensei) specialize in ""Action Economy,"" meaning they use their skills to give allies extra turns or slow down the enemy's progress in the turn order.",,,,
,,,,
,,,,
, Stat Definitions,,,
Keyword,Definition,Gameplay Impact,,
BST,Base Stat Total,The sum of all five primary stats. Used to determine the overall power of a unit.,,
POT,Potency,"Determines the success rate of applying debuffs (Poison, Freeze, Stun) and the effectiveness of buffs.",,
SPD,Speed,"Dictates where a unit sits in the turn order. Vital for Tacticians and Speedsters to ""set the stage.""",,
Energy,Skill Resource,"A bar that fills as units take actions. When full, the unit can use their Signature Skill.",,
,,,,
,,,,
,,,,
 Biome Advantage System,,,,
"The tactical ""Rock-Paper-Scissors"" of the game world.",,,,
,,,,
 Elemental Loop: Forest -> Wetlands -> Decay -> Tundra -> Forest.,,,,
 Advantage Effect: Dealing 50% more damage and receiving 25% less damage.,,,,
" Neutral (Kitchen): Acts as the ""Safe Haven""—dealing and receiving 100% damage across the board, making them the most stable choice for blind encounters.",,,,
,,,,
,,,,
,,,,Negative Status Effects (Debuffs)
,,,,
Name,Effect Description,,Name,Effect Description
