ID#,Funguy Name,Rarity,Biome,Class,Role,Key Synergy #1,Key Synergy #2,Key Synergy #3,HP,ATK,DEF,SPD,POT,BST,Passive,Passive Description,Signature Skill,Skill Description,Cooldown,Ultimate name,Ultimate Description,Core Ability,Base Effect (Lvl 1),Final; Evolution (lvl 10),,,,,,,,,,,,,,,,,,,
1,Golden Chanterelle,SR,Forest,Tank,Wall,Fortress,Vanguard,Phalanx,190,70,155,70,130,615,Gilded Bash,Gain a 10% Max HP shield when dealing damage.,Sunlight Barrier,Grants a shield to self and lowest current HP ally.,3 Turns,Gilded Sun-Aegis,"Grants a massive shield equal to 30% of Chanterelle's Max HP to all allies. For 2 turns, all damage dealt by shielded allies restores a portion of their shields. (30% of Chanterelle's Max HP is the cap).",Rooted Guard,30% Damage Reduction when HP > 75%.,Survive lethal hit with 1 HP + 1 turn Invulnerability (1x per battle) and heal 75% max health.,,,,,,,,,,,,,,,,,,,
2,Indigo Archer,SR,Forest,DPS,Multi-Hit,Armor Shred,,,90,175,90,160,100,615,Azure Bleed,If damage hits a bleeding target +10%,Forest Volley,Fires 3 arrows at random targets; 30% Bleed.,3 Turns,Azure Rain of Ruin,Fires 10 piercing arrows at random enemies at 33% power with a 100% chance to Bleed for each arrow. Deals 50% bonus damage to targets already bleeding. (Bonus damage doesn't stack),Tracker’s Mark,"25% chance to apply 1 stack ""Vulnerability"" (+15% dmg taken).",Every 3rd basic attack autocasts signature skill once.,,,,,,,,,,,,,,,,,,,
3,Lion’s Mane Monk,SR,Forest,DPS,Nuker,Sniper Nest,,,100,160,90,120,130,600,Focused Strike,10% chance to counter attack with a basic attack when hit with an ability or basic attack. Counters deal +25% damage,Roar of Silence,Deals damage with a 40% chance to Silence.,3 Turns,Roar of the Enlightened,"Deals heavy AoE damage with a 100% chance to Silence for 1 turn. Enters a ""Zen Trance"" for 2 turns, countering EVERY attack received with a Silence-inducing strike.",Zen Focus,20% chance to Counter-attack when hit.,"Counter chance increased to 35%, Counters have 50% chance to Silence target.",,,,,,,,,,,,,,,,,,,
4,Fly Agaric Jester,SR,Forest,Mage,AoE,Cataclysm,,,95,160,70,115,150,590,Prankster’s Cane,Basic attacks grant user a stack of Ibotenic Acid. Pemanent.,Hallucinogen,Deals bonus damage based on Ibotenic Acid stacks . Deals AoE and DoT and a small 10% chance of Confusion.,3 Turns,Hallucinogenic Hysteria,Deals massive AoE damage to all enemies that scales with all Ibotenic Acid stacks in play. Guaranteed to Confuse all enemies for 2 turns; Confused enemies take 100% more DoT damage.,Madness Spores,20% chance to cleanse 1 debuff when applying a stack.,Deal 50% more damage to confused targets and 20% more damage to bosses.,,,,,,,,,,,,,,,,,,,
5,Porcelain Guard,SR,Forest,Tank,Taunt,Attrition,Lifeline,Vengeance,170,40,180,70,140,600,Clay Layers,Damage redirected is reduced by 20%.,Impenetrable Glaze,Taunts all enemies; +50% Self DEF for 1 turn,3 Turns,Shatterproof Glaze,"Taunts all enemies for 2 turns, increasing Self DEF by 150%. Redirects 50% of all team damage to self, reducing the redirected damage by 75%.",Glazed Aegis,Reduces damage from AoE attacks by 15%.,Increase DEF by 20% for 2 turns when an enemy is successfully taunted. Doesn't stack,,,,,,,,,,,,,,,,,,,
6,Birch Polypore,SR,Forest,Support,Medic,Brawling Pair,Vanguard,,120,80,110,130,160,600,Spore Puff,Heals are 10% stronger when effecting Tanks.,Sanitizing Mist,Heals team and removes 1 debuff.,3 Turns,Purifying Spore Cloud,"Cleanses 1 debuff from all allies, restores all allies HP based on self POT stat, and grants ally Tanks regen for 3 turns.",Medicinal Sap,Over-healing is converted into Shield.,Heals also cleanse 1 random debuff from the target.,,,,,,,,,,,,,,,,,,,
7,Honey Fungus,SR,Forest,Support,Saboteur,Assassination,Cataclysm,Armor Shred,120,80,120,120,160,600,Amber Hive,Increase Synergy strength by 10%.,Sticky Overgrowth,Heals a small amount of the whole team and reduces enemy SPD by 5.,3 Turns,Amber Assimilation,Roots all enemies for 1 turn and heals lowest health ally based on own POT. Doubles all Synergy stat bonuses for the remainder of the battle.,Sticky Network,Enemies that attack this unit lose 5% SPD. Max 15%.,"Upon death, all enemies are Rooted for 1 turn.",,,,,,,,,,,,,,,,,,,
8,Amethyst Deceiver,SR,Forest,Assassin,Stealth,Shadow Step,,,80,160,60,185,100,585,Violet Slash,If this unit crit's enter stealth for a turn.,Ethereal Shift,100% Crit attack. Stealth lasts an extra turn.,3 Turns,Phantom Strike,"Enters Stealth for 3 turns. Unleashes a devastating strike on the lowest HP enemy with a 300% Crit Damage modifier. If this kills, immediately cast it again.",Mirror Image,Gain 20% Crit Chance,"After dodging, immediately counter-attack with a basic strike.",,,,,,,,,,,,,,,,,,,
9,Parrot Waxcap,SR,Forest,Mage,Nuker,Sniper Nest,,,100,180,100,115,100,595,Colorful Peck,Has a 10% chance to mimic. (basic attack during allies turn at 50% effectiveness and does not generate energy),Mimic Pulse,Deals damage to lowest Def enemy,3 Turns,Kaleidoscope Copycat,"Lowers all enemy DEF by 10%. Instantly mimics the last Ultimate used by any ally or enemy at 150% effectiveness, bypassing all energy requirements.",Vivid Mimicry,+10% ATK for 1 turn after an ally uses a skill.,Increases passive by 30% chance.,,,,,,,,,,,,,,,,,,,
10,King Bolete,SR,Forest,Tactician,Captain,Gourmet Line,The Battery,,120,100,110,120,150,600,Scepter Swing,Increases team POT by 10%.,Sovereign’s Decree,Forces all allies to attack target.,3 Turns,Wrath of the Mushroom King,Boosts team POT by 50% then commands all allies use their Signature Skills on a single target without consuming cooldowns or energy.,Royal Command,Allies in the same row gain +5% DEF.,"Once per battle, prevents all teammates from dying (leaves at 1 HP).",,,,,,,,,,,,,,,,,,,
